order,location,lat,lon
1,London,51.5074,-0.1278
2,Suez/Aden,29.9668,32.5498
3,London,51.5074,-0.1278
4,Bombay,19.076,72.8777
5,London,51.5074,-0.1278
6,Bombay,19.076,72.8777
7,Calcutta,22.5726,88.3639
8,Bombay,19.076,72.8777
9,Hong Kong,22.3193,114.1694
10,Yokohama/Japan,35.4437,139.638
11,San Francisco,37.7749,-122.4194
12,Yokohama/Japan,35.4437,139.638
13,San Francisco,37.7749,-122.4194
14,Transit,NA,NA
15,Atlantic/Liverpool,53.4084,-2.9916
16,San Francisco,37.7749,-122.4194
17,New York,40.7128,-74.006
18,Atlantic/Liverpool,53.4084,-2.9916
19,London,51.5074,-0.1278
