order,location,lexicon,n_tokens_stop,n_scored_tokens,token_coverage
1,London,AFINN,5264,233,0.0442629179331307
1,London,Bing,5264,313,0.05946048632218845
1,London,SenticNet,5264,1564,0.29711246200607905
2,Suez/Aden,AFINN,796,38,0.04773869346733668
2,Suez/Aden,Bing,796,40,0.05025125628140704
2,Suez/Aden,SenticNet,796,225,0.28266331658291455
3,London,AFINN,784,34,0.04336734693877551
3,London,Bing,784,29,0.036989795918367346
3,London,SenticNet,784,227,0.2895408163265306
4,Bombay,AFINN,4902,222,0.04528763769889841
4,Bombay,Bing,4902,257,0.052427580579355364
4,Bombay,SenticNet,4902,1521,0.310281517747858
5,London,AFINN,1652,83,0.050242130750605324
5,London,Bing,1652,104,0.06295399515738499
5,London,SenticNet,1652,574,0.3474576271186441
6,Bombay,AFINN,1902,112,0.058885383806519455
6,Bombay,Bing,1902,111,0.0583596214511041
6,Bombay,SenticNet,1902,591,0.3107255520504732
7,Calcutta,AFINN,1687,87,0.051570835803200946
7,Calcutta,Bing,1687,83,0.04919976289270895
7,Calcutta,SenticNet,1687,530,0.3141671606401897
8,Bombay,AFINN,1330,79,0.059398496240601506
8,Bombay,Bing,1330,63,0.04736842105263158
8,Bombay,SenticNet,1330,427,0.32105263157894737
9,Hong Kong,AFINN,5430,296,0.05451197053406998
9,Hong Kong,Bing,5430,300,0.055248618784530384
9,Hong Kong,SenticNet,5430,1707,0.3143646408839779
10,Yokohama/Japan,AFINN,5408,266,0.04918639053254438
10,Yokohama/Japan,Bing,5408,312,0.057692307692307696
10,Yokohama/Japan,SenticNet,5408,1666,0.30806213017751477
11,San Francisco,AFINN,1634,65,0.0397796817625459
11,San Francisco,Bing,1634,67,0.04100367197062423
11,San Francisco,SenticNet,1634,502,0.3072215422276622
12,Yokohama/Japan,AFINN,1577,80,0.05072923272035511
12,Yokohama/Japan,Bing,1577,80,0.05072923272035511
12,Yokohama/Japan,SenticNet,1577,449,0.284717818642993
13,San Francisco,AFINN,3328,162,0.048677884615384616
13,San Francisco,Bing,3328,156,0.046875
13,San Francisco,SenticNet,3328,975,0.29296875
14,Transit,AFINN,1797,80,0.044518642181413465
14,Transit,Bing,1797,85,0.04730105731775181
14,Transit,SenticNet,1797,540,0.3005008347245409
15,Atlantic/Liverpool,AFINN,1774,105,0.05918827508455468
15,Atlantic/Liverpool,Bing,1774,103,0.0580608793686584
15,Atlantic/Liverpool,SenticNet,1774,574,0.32356257046223225
16,San Francisco,AFINN,3506,183,0.05219623502567028
16,San Francisco,Bing,3506,197,0.05618938961779806
16,San Francisco,SenticNet,3506,1073,0.3060467769537935
17,New York,AFINN,1707,91,0.053309900410076154
17,New York,Bing,1707,81,0.04745166959578207
17,New York,SenticNet,1707,523,0.30638547158758056
18,Atlantic/Liverpool,AFINN,2980,157,0.052684563758389265
18,Atlantic/Liverpool,Bing,2980,187,0.06275167785234899
18,Atlantic/Liverpool,SenticNet,2980,900,0.30201342281879195
19,London,AFINN,3616,205,0.05669247787610619
19,London,Bing,3616,207,0.05724557522123894
19,London,SenticNet,3616,1014,0.28042035398230086
