order,location,tokens_total,tokens_scored,coverage,mean_val_base_scored,mean_val_afinn_scored,mean_val_bing_scored,mean_val_nrc_scored,flag_low_coverage
1,London,5264,413,0.07845744680851063,0.14968523002421308,0.01937046004842615,0.18958837772397094,0,TRUE
2,Suez/Aden,796,55,0.06909547738693467,-0.06,0.038181818181818185,-0.06363636363636363,0,TRUE
3,London,784,47,0.05994897959183673,-0.05,0.029787234042553193,-0.07446808510638298,0,TRUE
4,Bombay,4902,354,0.07221542227662178,0.12200564971751411,0.052542372881355937,0.14774011299435028,0,TRUE
5,London,1652,140,0.0847457627118644,-5.000000000000014e-4,0.006857142857142857,0.03785714285714285,0,TRUE
6,Bombay,1902,171,0.08990536277602523,-0.12894736842105264,-0.0654970760233918,-0.08187134502923976,0,TRUE
7,Calcutta,1687,121,0.07172495554238292,0.201900826446281,0.10991735537190084,0.21983471074380168,0,TRUE
8,Bombay,1330,111,0.08345864661654136,-0.19756756756756758,-0.11765765765765766,-0.14324324324324325,0,TRUE
9,Hong Kong,5430,432,0.07955801104972375,0.035694444444444445,0.02925925925925926,0.04976851851851852,0,TRUE
10,Yokohama/Japan,5408,429,0.07932692307692307,0.026037296037296036,0.011095571095571096,0.03822843822843822,0,TRUE
11,San Francisco,1634,97,0.05936352509179926,0.08144329896907217,0.041237113402061855,0.07835051546391752,0,TRUE
12,Yokohama/Japan,1577,120,0.07609384908053266,0.13166666666666668,0.0525,0.13833333333333334,0,TRUE
13,San Francisco,3328,234,0.0703125,0.06675213675213676,0.07564102564102564,0.07991452991452991,0,TRUE
14,Transit,1797,123,0.06844741235392321,0.04390243902439024,0.032520325203252036,0.08943089430894309,0,TRUE
15,Atlantic/Liverpool,1774,159,0.08962795941375423,-0.05742138364779874,-0.014716981132075476,-0.07169811320754717,0,TRUE
16,San Francisco,3506,285,0.08128921848260126,-0.1474736842105263,-0.03150877192982456,-0.10771929824561403,0,TRUE
17,New York,1707,128,0.07498535442296426,0.126015625,0.0575,0.14296875,0,TRUE
18,Atlantic/Liverpool,2980,257,0.08624161073825504,0.06926070038910506,-0.010661478599221789,0.07120622568093385,0,TRUE
19,London,3616,289,0.07992256637168142,-0.008269896193771626,-0.025536332179930798,0.01626297577854671,0,TRUE
