Chapter,Mean,Coverage
1,0.15,0.06
2,0.241,0.09
3,0.201,0.07
4,0.079,0.09
5,0.023,0.09
6,-0.06,0.07
7,-0.01,0.05
8,-0.08,0.07
9,0.307,0.07
10,0.088,0.07
11,0.043,0.07
12,-0.001,0.08
13,-0.129,0.09
14,0.202,0.07
15,-0.198,0.08
16,0.154,0.07
17,0.104,0.08
18,-0.035,0.08
19,-0.08,0.08
20,0.187,0.07
21,-0.026,0.09
22,0.008,0.07
23,0.081,0.06
24,0.132,0.08
25,0.08,0.07
26,0.051,0.07
27,0.044,0.07
28,-0.057,0.09
29,0.011,0.08
30,-0.288,0.08
31,0.126,0.07
32,0.119,0.08
33,0.052,0.09
34,-0.088,0.09
35,-0.049,0.07
36,0.028,0.08
37,0.135,0.07
